NVIDIA_GeForce_RTX_2080_SUPER
Final results:	8	4096	4096	4	1	62	536	536
Final results:	8	4096	4096	4	0.9	62	536	482
Final results:	8	4096	4096	4	0.8	62	536	428
Final results:	8	4096	4096	4	0.7	62	537	376
Final results:	8	4096	4096	4	0.6	61	545	327
Final results:	8	4096	4096	4	0.5	61	541	270
Final results:	8	4096	4096	4	0.4	61	544	217
Final results:	8	4096	4096	4	0.3	62	540	162
Final results:	8	4096	4096	4	0.2	62	540	108
Final results:	8	4096	4096	4	0.1	61	541	54
Final results:	8	4096	4096	4	0.05	61	544	27
Final results:	8	4096	4096	8	1	86	385	385
Final results:	8	4096	4096	8	0.9	83	401	361
Final results:	8	4096	4096	8	0.8	74	451	360
Final results:	8	4096	4096	8	0.7	71	472	330
Final results:	8	4096	4096	8	0.6	64	522	313
Final results:	8	4096	4096	8	0.5	58	577	288
Final results:	8	4096	4096	8	0.4	50	665	266
Final results:	8	4096	4096	8	0.3	43	770	231
Final results:	8	4096	4096	8	0.2	37	897	179
Final results:	8	4096	4096	8	0.1	31	1071	107
Final results:	8	4096	4096	8	0.05	26	1266	63
Final results:	8	8192	8192	4	1	206	650	650
Final results:	8	8192	8192	4	0.9	206	651	586
Final results:	8	8192	8192	4	0.8	206	651	520
Final results:	8	8192	8192	4	0.7	206	651	455
Final results:	8	8192	8192	4	0.6	206	650	390
Final results:	8	8192	8192	4	0.5	205	653	326
Final results:	8	8192	8192	4	0.4	205	652	260
Final results:	8	8192	8192	4	0.3	205	652	195
Final results:	8	8192	8192	4	0.2	205	652	130
Final results:	8	8192	8192	4	0.1	205	652	65
Final results:	8	8192	8192	4	0.05	206	649	32
Final results:	8	8192	8192	8	1	314	426	426
Final results:	8	8192	8192	8	0.9	305	439	395
Final results:	8	8192	8192	8	0.8	265	505	404
Final results:	8	8192	8192	8	0.7	245	545	382
Final results:	8	8192	8192	8	0.6	221	606	363
Final results:	8	8192	8192	8	0.5	195	687	343
Final results:	8	8192	8192	8	0.4	168	794	317
Final results:	8	8192	8192	8	0.3	144	929	278
Final results:	8	8192	8192	8	0.2	115	1157	231
Final results:	8	8192	8192	8	0.1	93	1433	143
Final results:	8	8192	8192	8	0.05	75	1786	89
Final results:	8	8192	29568	4	1	734	659	659
Final results:	8	8192	29568	4	0.9	735	658	592
Final results:	8	8192	29568	4	0.8	735	659	527
Final results:	8	8192	29568	4	0.7	735	658	460
Final results:	8	8192	29568	4	0.6	735	658	395
Final results:	8	8192	29568	4	0.5	735	658	329
Final results:	8	8192	29568	4	0.4	736	657	263
Final results:	8	8192	29568	4	0.3	736	658	197
Final results:	8	8192	29568	4	0.2	735	659	131
Final results:	8	8192	29568	4	0.1	735	658	65
Final results:	8	8192	29568	4	0.05	734	659	32
Final results:	8	8192	29568	8	1	1195	405	405
Final results:	8	8192	29568	8	0.9	1101	439	395
Final results:	8	8192	29568	8	0.8	985	491	393
Final results:	8	8192	29568	8	0.7	886	546	382
Final results:	8	8192	29568	8	0.6	778	622	373
Final results:	8	8192	29568	8	0.5	669	723	361
Final results:	8	8192	29568	8	0.4	572	845	338
Final results:	8	8192	29568	8	0.3	486	996	299
Final results:	8	8192	29568	8	0.2	384	1258	251
Final results:	8	8192	29568	8	0.1	306	1579	157
Final results:	8	8192	29568	8	0.05	244	1983	99
Final results:	8	32000	5120	4	1	479	682	682
Final results:	8	32000	5120	4	0.9	480	681	613
Final results:	8	32000	5120	4	0.8	479	683	546
Final results:	8	32000	5120	4	0.7	480	681	477
Final results:	8	32000	5120	4	0.6	479	683	409
Final results:	8	32000	5120	4	0.5	480	682	341
Final results:	8	32000	5120	4	0.4	481	680	272
Final results:	8	32000	5120	4	0.3	481	680	204
Final results:	8	32000	5120	4	0.2	480	682	136
Final results:	8	32000	5120	4	0.1	479	682	68
Final results:	8	32000	5120	4	0.05	480	682	34
Final results:	8	32000	5120	8	1	695	471	471
Final results:	8	32000	5120	8	0.9	654	500	450
Final results:	8	32000	5120	8	0.8	580	564	451
Final results:	8	32000	5120	8	0.7	534	613	429
Final results:	8	32000	5120	8	0.6	484	676	405
Final results:	8	32000	5120	8	0.5	438	747	373
Final results:	8	32000	5120	8	0.4	382	856	342
Final results:	8	32000	5120	8	0.3	321	1019	305
Final results:	8	32000	5120	8	0.2	260	1257	251
Final results:	8	32000	5120	8	0.1	210	1553	155
Final results:	8	32000	5120	8	0.05	169	1930	96
Final results:	8	32000	8192	4	1	743	705	705
Final results:	8	32000	8192	4	0.9	745	703	633
Final results:	8	32000	8192	4	0.8	741	706	565
Final results:	8	32000	8192	4	0.7	746	702	491
Final results:	8	32000	8192	4	0.6	744	704	422
Final results:	8	32000	8192	4	0.5	744	704	352
Final results:	8	32000	8192	4	0.4	741	706	282
Final results:	8	32000	8192	4	0.3	742	705	211
Final results:	8	32000	8192	4	0.2	743	705	141
Final results:	8	32000	8192	4	0.1	743	704	70
Final results:	8	32000	8192	4	0.05	744	704	35
Final results:	8	32000	8192	8	1	1081	484	484
Final results:	8	32000	8192	8	0.9	1071	489	440
Final results:	8	32000	8192	8	0.8	930	563	450
Final results:	8	32000	8192	8	0.7	844	620	434
Final results:	8	32000	8192	8	0.6	750	698	419
Final results:	8	32000	8192	8	0.5	668	783	391
Final results:	8	32000	8192	8	0.4	585	895	358
Final results:	8	32000	8192	8	0.3	494	1060	318
Final results:	8	32000	8192	8	0.2	391	1338	267
Final results:	8	32000	8192	8	0.1	312	1676	167
Final results:	8	32000	8192	8	0.05	248	2107	105
Final results:	8	28672	8192	4	1	671	699	699
